id,actor/login,actor/id,event,created_at,issue/id,issue/number,label/name,label/color,assignee/login,assignee/id,assigner/login,assigner/id,milestone/title
626273912,cleebp,3922117,closed,2016-04-13T19:05:36Z,146670289,80,,,,,,,
626267757,reachspirit,16613192,labeled,2016-04-13T19:00:19Z,148152224,85,in progress,bfe5bf,,,,,
626267494,reachspirit,16613192,assigned,2016-04-13T19:00:06Z,148152224,85,,,reachspirit,16613192,reachspirit,16613192,
626267381,reachspirit,16613192,labeled,2016-04-13T19:00:01Z,148152224,85,1-May,d93f0b,,,,,
626267059,reachspirit,16613192,milestoned,2016-04-13T18:59:41Z,148152224,85,,,,,,,May1 Deliverable
626264316,effat,1575219,milestoned,2016-04-13T18:57:25Z,148151730,84,,,,,,,May1 Deliverable
626264315,effat,1575219,labeled,2016-04-13T18:57:25Z,148151730,84,1-May,d93f0b,,,,,
626264313,effat,1575219,labeled,2016-04-13T18:57:25Z,148151730,84,design,fbca04,,,,,
626264312,effat,1575219,assigned,2016-04-13T18:57:25Z,148151730,84,,,effat,1575219,effat,1575219,
626260694,cleebp,3922117,unassigned,2016-04-13T18:54:59Z,139675270,55,,,cleebp,3922117,trueblue2704,2348533,
626260617,cleebp,3922117,assigned,2016-04-13T18:54:56Z,139675270,55,,,cleebp,3922117,trueblue2704,2348533,
626260494,trueblue2704,2348533,unassigned,2016-04-13T18:54:51Z,139675270,55,,,trueblue2704,2348533,trueblue2704,2348533,
626260225,trueblue2704,2348533,assigned,2016-04-13T18:54:41Z,139675270,55,,,trueblue2704,2348533,trueblue2704,2348533,
626259619,trueblue2704,2348533,milestoned,2016-04-13T18:54:16Z,148150829,83,,,,,,,May1 Deliverable
626259617,trueblue2704,2348533,labeled,2016-04-13T18:54:16Z,148150829,83,1-May,d93f0b,,,,,
626259616,trueblue2704,2348533,labeled,2016-04-13T18:54:16Z,148150829,83,in progress,bfe5bf,,,,,
626259615,trueblue2704,2348533,assigned,2016-04-13T18:54:16Z,148150829,83,,,trueblue2704,2348533,trueblue2704,2348533,
626256582,cleebp,3922117,milestoned,2016-04-13T18:52:12Z,148150325,82,,,,,,,May1 Deliverable
626256581,cleebp,3922117,labeled,2016-04-13T18:52:11Z,148150325,82,1-May,d93f0b,,,,,
626256580,cleebp,3922117,assigned,2016-04-13T18:52:11Z,148150325,82,,,cleebp,3922117,cleebp,3922117,
626253577,cleebp,3922117,milestoned,2016-04-13T18:50:02Z,148149818,81,,,,,,,May1 Deliverable
626253575,cleebp,3922117,labeled,2016-04-13T18:50:02Z,148149818,81,meeting,eb6420,,,,,
618732852,cleebp,3922117,labeled,2016-04-07T16:06:49Z,146670289,80,1-May,d93f0b,,,,,
618732098,cleebp,3922117,milestoned,2016-04-07T16:06:12Z,146670289,80,,,,,,,May1 Deliverable
618732097,cleebp,3922117,labeled,2016-04-07T16:06:12Z,146670289,80,meeting,eb6420,,,,,
618728874,cleebp,3922117,closed,2016-04-07T16:03:46Z,145790949,78,,,,,,,
618728414,cleebp,3922117,closed,2016-04-07T16:03:21Z,146033378,79,,,,,,,
617458644,cleebp,3922117,closed,2016-04-06T21:02:53Z,145532596,76,,,,,,,
617458505,cleebp,3922117,closed,2016-04-06T21:02:46Z,145009943,75,,,,,,,
617458237,cleebp,3922117,closed,2016-04-06T21:02:34Z,145729152,77,,,,,,,
615414324,cleebp,3922117,milestoned,2016-04-05T16:01:01Z,146033378,79,,,,,,,Apr 7 Presentation
615414323,cleebp,3922117,labeled,2016-04-05T16:01:01Z,146033378,79,1-Apr,5.32E+10,,,,,
615414322,cleebp,3922117,labeled,2016-04-05T16:01:01Z,146033378,79,in progress,bfe5bf,,,,,
615390706,cleebp,3922117,closed,2016-04-05T15:45:17Z,144690798,74,,,,,,,
614185542,cleebp,3922117,milestoned,2016-04-04T20:11:17Z,145790949,78,,,,,,,Apr 7 Report
614185541,cleebp,3922117,labeled,2016-04-04T20:11:17Z,145790949,78,1-Apr,5.32E+10,,,,,
614185540,cleebp,3922117,labeled,2016-04-04T20:11:17Z,145790949,78,discussion,c7def8,,,,,
614183042,cleebp,3922117,closed,2016-04-04T20:09:24Z,143059381,67,,,,,,,
614181257,cleebp,3922117,demilestoned,2016-04-04T20:08:23Z,145532596,76,,,,,,,Apr 7 Report
614181256,cleebp,3922117,milestoned,2016-04-04T20:08:23Z,145532596,76,,,,,,,Apr 7 Presentation
613836416,cleebp,3922117,milestoned,2016-04-04T16:03:53Z,145729152,77,,,,,,,Apr 7 Report
613836415,cleebp,3922117,labeled,2016-04-04T16:03:53Z,145729152,77,1-Apr,5.32E+10,,,,,
613836414,cleebp,3922117,assigned,2016-04-04T16:03:53Z,145729152,77,,,cleebp,3922117,cleebp,3922117,
612834432,cleebp,3922117,closed,2016-04-03T19:32:54Z,144036795,71,,,,,,,
612833820,cleebp,3922117,labeled,2016-04-03T19:30:30Z,145532596,76,discussion,c7def8,,,,,
612833617,cleebp,3922117,milestoned,2016-04-03T19:29:37Z,145532596,76,,,,,,,Apr 7 Report
612833614,cleebp,3922117,labeled,2016-04-03T19:29:34Z,145532596,76,1-Apr,5.32E+10,,,,,
610387515,cleebp,3922117,closed,2016-03-31T20:33:20Z,143057751,63,,,,,,,
610387324,cleebp,3922117,milestoned,2016-03-31T20:33:08Z,145009943,75,,,,,,,Apr 7 Presentation
610387299,cleebp,3922117,labeled,2016-03-31T20:33:06Z,145009943,75,1-Apr,5.32E+10,,,,,
610387298,cleebp,3922117,labeled,2016-03-31T20:33:06Z,145009943,75,discussion,c7def8,,,,,
608756151,cleebp,3922117,milestoned,2016-03-30T19:06:03Z,144690798,74,,,,,,,Apr 7 Presentation
608756076,cleebp,3922117,labeled,2016-03-30T19:06:00Z,144690798,74,1-Apr,5.32E+10,,,,,
608756075,cleebp,3922117,labeled,2016-03-30T19:06:00Z,144690798,74,design,fbca04,,,,,
608671616,cleebp,3922117,closed,2016-03-30T18:07:37Z,143059111,66,,,,,,,
608671445,cleebp,3922117,closed,2016-03-30T18:07:31Z,143058652,64,,,,,,,
608671006,cleebp,3922117,closed,2016-03-30T18:07:18Z,144041257,72,,,,,,,
608670825,cleebp,3922117,closed,2016-03-30T18:07:11Z,144126050,73,,,,,,,
605989457,trueblue2704,2348533,milestoned,2016-03-29T01:15:38Z,144126050,73,,,,,,,Apr 7 Report
605989456,trueblue2704,2348533,labeled,2016-03-29T01:15:38Z,144126050,73,1-Apr,5.32E+10,,,,,
605989455,trueblue2704,2348533,labeled,2016-03-29T01:15:38Z,144126050,73,in progress,bfe5bf,,,,,
605989454,trueblue2704,2348533,labeled,2016-03-29T01:15:38Z,144126050,73,discussion,c7def8,,,,,
605525764,trueblue2704,2348533,milestoned,2016-03-28T17:56:07Z,143057751,63,,,,,,,Apr 7 Report
605525656,trueblue2704,2348533,labeled,2016-03-28T17:56:00Z,143057751,63,1-Apr,5.32E+10,,,,,
605525655,trueblue2704,2348533,labeled,2016-03-28T17:56:00Z,143057751,63,meeting,eb6420,,,,,
605525653,trueblue2704,2348533,labeled,2016-03-28T17:56:00Z,143057751,63,discussion,c7def8,,,,,
605525307,trueblue2704,2348533,closed,2016-03-28T17:55:42Z,143057551,62,,,,,,,
605524614,trueblue2704,2348533,closed,2016-03-28T17:55:09Z,143058945,65,,,,,,,
605524242,trueblue2704,2348533,milestoned,2016-03-28T17:54:47Z,141338413,59,,,,,,,User testing
605523927,trueblue2704,2348533,labeled,2016-03-28T17:54:36Z,141338413,59,1-Apr,5.32E+10,,,,,
605523926,trueblue2704,2348533,labeled,2016-03-28T17:54:36Z,141338413,59,meeting,eb6420,,,,,
605523925,trueblue2704,2348533,labeled,2016-03-28T17:54:36Z,141338413,59,discussion,c7def8,,,,,
605523197,trueblue2704,2348533,closed,2016-03-28T17:53:57Z,143870846,70,,,,,,,
605518306,cleebp,3922117,closed,2016-03-28T17:50:13Z,139675270,55,,,,,,,
605517035,cleebp,3922117,labeled,2016-03-28T17:49:15Z,144036795,71,1-Apr,5.32E+10,,,,,
605517034,cleebp,3922117,labeled,2016-03-28T17:49:15Z,144036795,71,meeting,eb6420,,,,,
605516825,cleebp,3922117,milestoned,2016-03-28T17:49:08Z,144036795,71,,,,,,,Apr 7 Report
605400049,cleebp,3922117,milestoned,2016-03-28T16:11:06Z,143057551,62,,,,,,,User testing
605399919,cleebp,3922117,labeled,2016-03-28T16:11:01Z,143057551,62,1-Apr,5.32E+10,,,,,
605399918,cleebp,3922117,labeled,2016-03-28T16:11:01Z,143057551,62,meeting,eb6420,,,,,
605399917,cleebp,3922117,labeled,2016-03-28T16:11:01Z,143057551,62,discussion,c7def8,,,,,
604721122,trueblue2704,2348533,closed,2016-03-28T01:56:26Z,143834898,69,,,,,,,
604586647,history,65365,subscribed,2016-03-27T19:13:22Z,143834898,69,,,,,,,
604586646,history,65365,mentioned,2016-03-27T19:13:22Z,143834898,69,,,,,,,
603320717,effat,1575219,labeled,2016-03-25T18:36:13Z,143059381,67,discussion,c7def8,,,,,
603319809,effat,1575219,labeled,2016-03-25T18:35:19Z,143059111,66,in progress,bfe5bf,,,,,
601206361,trueblue2704,2348533,closed,2016-03-24T02:54:07Z,142747365,61,,,,,,,
601206027,trueblue2704,2348533,closed,2016-03-24T02:53:27Z,139676259,57,,,,,,,
601205892,trueblue2704,2348533,closed,2016-03-24T02:53:06Z,143133232,68,,,,,,,
601205891,trueblue2704,2348533,closed,2016-03-24T02:53:06Z,139676012,56,,,,,,,
601205890,trueblue2704,2348533,merged,2016-03-24T02:53:06Z,143133232,68,,,,,,,
601205889,trueblue2704,2348533,referenced,2016-03-24T02:53:06Z,143133232,68,,,,,,,
600813416,cleebp,3922117,milestoned,2016-03-23T19:35:53Z,143059381,67,,,,,,,Apr 7 Report
600813415,cleebp,3922117,labeled,2016-03-23T19:35:53Z,143059381,67,1-Apr,5.32E+10,,,,,
600812104,cleebp,3922117,milestoned,2016-03-23T19:35:02Z,143059111,66,,,,,,,User testing
600812103,effat,1575219,assigned,2016-03-23T19:35:02Z,143059111,66,,,effat,1575219,cleebp,3922117,
600812102,cleebp,3922117,labeled,2016-03-23T19:35:02Z,143059111,66,1-Apr,5.32E+10,,,,,
600811434,cleebp,3922117,labeled,2016-03-23T19:34:36Z,143058945,65,1-Apr,5.32E+10,,,,,
600811433,cleebp,3922117,labeled,2016-03-23T19:34:36Z,143058945,65,help wanted,159818,,,,,
600811291,cleebp,3922117,milestoned,2016-03-23T19:34:29Z,143058945,65,,,,,,,User testing
600810133,cleebp,3922117,milestoned,2016-03-23T19:33:46Z,143058652,64,,,,,,,User testing
600809547,cleebp,3922117,labeled,2016-03-23T19:33:35Z,143058652,64,1-Apr,5.32E+10,,,,,
600772695,effat,1575219,closed,2016-03-23T19:03:41Z,141368883,60,,,,,,,
599208384,cleebp,3922117,milestoned,2016-03-22T19:04:06Z,142747365,61,,,,,,,Apr 7 Presentation
599208383,cleebp,3922117,labeled,2016-03-22T19:04:06Z,142747365,61,1-Apr,5.32E+10,,,,,
599208382,cleebp,3922117,labeled,2016-03-22T19:04:06Z,142747365,61,meeting,eb6420,,,,,
599208381,cleebp,3922117,labeled,2016-03-22T19:04:06Z,142747365,61,discussion,c7def8,,,,,
599204361,cleebp,3922117,closed,2016-03-22T19:01:32Z,141338413,59,,,,,,,
592328028,reachspirit,16613192,assigned,2016-03-16T18:54:44Z,141368883,60,,,reachspirit,16613192,reachspirit,16613192,
592328027,reachspirit,16613192,labeled,2016-03-16T18:54:44Z,141368883,60,1-Apr,5.32E+10,,,,,
592328026,reachspirit,16613192,labeled,2016-03-16T18:54:44Z,141368883,60,in progress,bfe5bf,,,,,
592328025,reachspirit,16613192,labeled,2016-03-16T18:54:44Z,141368883,60,bug,fc2929,,,,,
592246412,cleebp,3922117,unassigned,2016-03-16T18:00:50Z,139675270,55,,,cleebp,3922117,cleebp,3922117,
592246350,cleebp,3922117,assigned,2016-03-16T18:00:47Z,139675270,55,,,cleebp,3922117,cleebp,3922117,
592246349,reachspirit,16613192,unassigned,2016-03-16T18:00:47Z,139675270,55,,,reachspirit,16613192,cleebp,3922117,
592246255,reachspirit,16613192,assigned,2016-03-16T18:00:43Z,139675270,55,,,reachspirit,16613192,cleebp,3922117,
592246254,cleebp,3922117,unassigned,2016-03-16T18:00:43Z,139675270,55,,,cleebp,3922117,cleebp,3922117,
592246182,cleebp,3922117,assigned,2016-03-16T18:00:36Z,139675270,55,,,cleebp,3922117,cleebp,3922117,
592163053,cleebp,3922117,closed,2016-03-16T17:06:44Z,139476793,54,,,,,,,
588809229,trueblue2704,2348533,unlabeled,2016-03-14T14:47:38Z,139676012,56,in progress,bfe5bf,,,,,
588809227,trueblue2704,2348533,labeled,2016-03-14T14:47:38Z,139676012,56,in testing,fad8c7,,,,,
588809226,trueblue2704,2348533,labeled,2016-03-14T14:47:38Z,139676012,56,help wanted,159818,,,,,
588086893,trueblue2704,2348533,closed,2016-03-14T01:35:33Z,140552535,58,,,,,,,
588086870,trueblue2704,2348533,milestoned,2016-03-14T01:35:30Z,140552535,58,,,,,,,User testing
588086844,trueblue2704,2348533,labeled,2016-03-14T01:35:24Z,140552535,58,1-Apr,5.32E+10,,,,,
588086843,trueblue2704,2348533,labeled,2016-03-14T01:35:24Z,140552535,58,in testing,fad8c7,,,,,
588086842,trueblue2704,2348533,labeled,2016-03-14T01:35:24Z,140552535,58,enhancement,84b6eb,,,,,
583806298,trueblue2704,2348533,closed,2016-03-09T19:31:37Z,139173045,52,,,,,,,
583799494,trueblue2704,2348533,milestoned,2016-03-09T19:27:19Z,139676259,57,,,,,,,User testing
583799493,trueblue2704,2348533,assigned,2016-03-09T19:27:19Z,139676259,57,,,trueblue2704,2348533,trueblue2704,2348533,
583799492,trueblue2704,2348533,labeled,2016-03-09T19:27:19Z,139676259,57,1-Apr,5.32E+10,,,,,
583799491,trueblue2704,2348533,labeled,2016-03-09T19:27:19Z,139676259,57,in progress,bfe5bf,,,,,
583799490,trueblue2704,2348533,labeled,2016-03-09T19:27:19Z,139676259,57,enhancement,84b6eb,,,,,
583798218,trueblue2704,2348533,assigned,2016-03-09T19:26:32Z,139676012,56,,,trueblue2704,2348533,trueblue2704,2348533,
583798100,trueblue2704,2348533,milestoned,2016-03-09T19:26:27Z,139676012,56,,,,,,,User testing
583798098,trueblue2704,2348533,labeled,2016-03-09T19:26:27Z,139676012,56,1-Apr,5.32E+10,,,,,
583798097,trueblue2704,2348533,labeled,2016-03-09T19:26:27Z,139676012,56,in progress,bfe5bf,,,,,
583798096,trueblue2704,2348533,labeled,2016-03-09T19:26:27Z,139676012,56,enhancement,84b6eb,,,,,
583795352,trueblue2704,2348533,milestoned,2016-03-09T19:24:35Z,139675270,55,,,,,,,User testing
583795180,trueblue2704,2348533,labeled,2016-03-09T19:24:29Z,139675270,55,1-Apr,5.32E+10,,,,,
583795179,trueblue2704,2348533,labeled,2016-03-09T19:24:29Z,139675270,55,in progress,bfe5bf,,,,,
583795178,trueblue2704,2348533,labeled,2016-03-09T19:24:29Z,139675270,55,discussion,c7def8,,,,,
583664971,cleebp,3922117,closed,2016-03-09T17:49:14Z,139320295,53,,,,,,,
581939811,cleebp,3922117,labeled,2016-03-08T16:13:55Z,139173045,52,1-Apr,5.32E+10,,,,,
581939719,cleebp,3922117,milestoned,2016-03-08T16:13:51Z,139173045,52,,,,,,,Apr 1 Presentation
581938998,cleebp,3922117,labeled,2016-03-08T16:13:19Z,139173045,52,discussion,c7def8,,,,,
576857505,trueblue2704,2348533,closed,2016-03-03T21:02:45Z,134383546,26,,,,,,,
576579858,cleebp,3922117,closed,2016-03-03T17:31:00Z,136175359,35,,,,,,,
576579509,cleebp,3922117,closed,2016-03-03T17:30:43Z,136180879,37,,,,,,,
575234928,cleebp,3922117,closed,2016-03-02T20:15:36Z,137978959,51,,,,,,,
575229237,cleebp,3922117,milestoned,2016-03-02T20:11:10Z,137978959,51,,,,,,,Mar1 Demo
575229235,cleebp,3922117,labeled,2016-03-02T20:11:10Z,137978959,51,meeting,eb6420,,,,,
575229234,cleebp,3922117,labeled,2016-03-02T20:11:10Z,137978959,51,1-Mar,fbca04,,,,,
575229233,cleebp,3922117,labeled,2016-03-02T20:11:10Z,137978959,51,help wanted,159818,,,,,
575229232,cleebp,3922117,labeled,2016-03-02T20:11:10Z,137978959,51,bug,fc2929,,,,,
575155003,trueblue2704,2348533,closed,2016-03-02T19:18:22Z,137674120,48,,,,,,,
575154152,trueblue2704,2348533,closed,2016-03-02T19:17:40Z,137764726,49,,,,,,,
575152542,trueblue2704,2348533,closed,2016-03-02T19:16:30Z,137965065,50,,,,,,,
575152541,trueblue2704,2348533,merged,2016-03-02T19:16:30Z,137965065,50,,,,,,,
575152540,trueblue2704,2348533,referenced,2016-03-02T19:16:30Z,137965065,50,,,,,,,
575112072,cleebp,3922117,closed,2016-03-02T18:48:10Z,135251380,27,,,,,,,
575109492,cleebp,3922117,closed,2016-03-02T18:46:28Z,137326538,43,,,,,,,
574104969,trueblue2704,2348533,unlabeled,2016-03-02T03:57:05Z,135251380,27,1-Mar,fbca04,,,,,
574104819,trueblue2704,2348533,unlabeled,2016-03-02T03:56:47Z,135251380,27,in progress,bfe5bf,,,,,
574104818,trueblue2704,2348533,labeled,2016-03-02T03:56:47Z,135251380,27,enhancement,84b6eb,,,,,
574103709,trueblue2704,2348533,demilestoned,2016-03-02T03:54:29Z,134383546,26,,,,,,,Mar1 Deliverable
574103708,trueblue2704,2348533,milestoned,2016-03-02T03:54:29Z,134383546,26,,,,,,,Mar1 Demo
574103638,trueblue2704,2348533,demilestoned,2016-03-02T03:54:19Z,137326538,43,,,,,,,Mar1 Deliverable
574103637,trueblue2704,2348533,milestoned,2016-03-02T03:54:19Z,137326538,43,,,,,,,Mar1 Demo
574103314,trueblue2704,2348533,milestoned,2016-03-02T03:53:38Z,137764726,49,,,,,,,Mar1 Extended
574103313,trueblue2704,2348533,labeled,2016-03-02T03:53:38Z,137764726,49,in testing,fad8c7,,,,,
574103312,trueblue2704,2348533,labeled,2016-03-02T03:53:38Z,137764726,49,discussion,c7def8,,,,,
574102391,trueblue2704,2348533,closed,2016-03-02T03:51:42Z,137634132,47,,,,,,,
573606080,history,65365,unsubscribed,2016-03-01T20:10:34Z,137674120,48,,,,,,,
573605545,cleebp,3922117,milestoned,2016-03-01T20:10:06Z,137674120,48,,,,,,,Mar1 Deliverable
573605544,history,65365,subscribed,2016-03-01T20:10:06Z,137674120,48,,,,,,,
573605543,history,65365,mentioned,2016-03-01T20:10:06Z,137674120,48,,,,,,,
573605542,cleebp,3922117,labeled,2016-03-01T20:10:06Z,137674120,48,in testing,fad8c7,,,,,
573605541,cleebp,3922117,labeled,2016-03-01T20:10:06Z,137674120,48,1-Mar,fbca04,,,,,
573605540,cleebp,3922117,labeled,2016-03-01T20:10:06Z,137674120,48,bug,fc2929,,,,,
573475283,cleebp,3922117,closed,2016-03-01T18:42:27Z,137633770,45,,,,,,,
573358706,trueblue2704,2348533,milestoned,2016-03-01T17:13:13Z,137634132,47,,,,,,,Mar1 Deliverable
573358705,trueblue2704,2348533,labeled,2016-03-01T17:13:13Z,137634132,47,feature,207de5,,,,,
573358704,trueblue2704,2348533,labeled,2016-03-01T17:13:13Z,137634132,47,1-Mar,fbca04,,,,,
573358085,cleebp,3922117,assigned,2016-03-01T17:12:39Z,137633770,45,,,cleebp,3922117,cleebp,3922117,
573358050,cleebp,3922117,milestoned,2016-03-01T17:12:38Z,137633770,45,,,,,,,Mar1 Deliverable
573357995,cleebp,3922117,labeled,2016-03-01T17:12:35Z,137633770,45,in testing,fad8c7,,,,,
573357994,cleebp,3922117,labeled,2016-03-01T17:12:35Z,137633770,45,in progress,bfe5bf,,,,,
573357993,cleebp,3922117,labeled,2016-03-01T17:12:35Z,137633770,45,1-Mar,fbca04,,,,,
573357875,trueblue2704,2348533,closed,2016-03-01T17:12:30Z,137633963,46,,,,,,,
573357788,trueblue2704,2348533,milestoned,2016-03-01T17:12:27Z,137633963,46,,,,,,,Mar1 Deliverable
573357717,trueblue2704,2348533,labeled,2016-03-01T17:12:23Z,137633963,46,feature,207de5,,,,,
573357716,trueblue2704,2348533,labeled,2016-03-01T17:12:23Z,137633963,46,1-Mar,fbca04,,,,,
